,A5,AWS,Ag,Al,Applications,B,Be,C,Category,Co,Cr,Cu,DIN,DIN_W,Fe,HT_Temp,HT_Time,Hardness,Hardness_Scale,Heat_Treated_As,IE-20,IE-40,IE-60,ISO,Mg,Mn,Mo,N,Name,Nb,Nb+Ta,Ni,Ni+Co,Other,Others,P,Properties,Redry_Time,Redrying_Temp,Rm,Rp0,S,Si,Sn,Suitable_For,Ti,V,W,Zn,Zr,url
159,,A 5.01: Class T3,,13.5,"Cladding components undergoing metal to metal wear with high friction and or heavy surface loads on top of cast iron, steels and or bronzes. ",,,0.2,GMAW-GTAW Solid wires,,,1.0,8555: MSG 31-GF-400-C,,4.0,0.0,,420.0,1,,,,,14700: TCu1,,,,,AA CuAl14Fe,,,,,,,,"Special alloyed copper composite wire suitable for the Mig processThe weld metal is a CAl bronze with extreme high aluminium content.Sound, pore free deposits with excelent sliding properties and low friction.",0,,,,,,,"Deep drawing dies for stainless steel, aluminium, magnesium and titanium parts. Sleeves, spindles, cable winches guides, gliding surfaces, pulling equipment. (usualy preheating 300°C prior to welding is recomended to reduce cracks) ",,,,,,http://www.ceweld.nl/en/product/aa-cual14fe
160,16.0,,,,"Joining and rebuilding Cast Iron with globular graphite, tempered Cast Iron and for joining Cast Iron with steel.",,,0.7,FCAW Flux-Cored,,,,8555: MSG NiFe-2,,34.0,0.0,,177.5,1,AW,,,,1071:T C Z NiFe-1 M,,4.5,,,AA FeNi,,,60.2,,,,,Very good welding and wetting characteristics and high resistance to cracks and fissures. Extreme good deposition rate compare to MMA. High strength and good bonding weld metal..,24,150.0,550.0,340.0,,0.6,,"Joining and rebuilding Cast Iron with globular graphite, tempered Cast Iron and for joining Cast Iron with steel,Grey cast iron, malleable, nodular : NF A 32-101 : FGL 150, 200, 250, 300, 350, 400. NF A 32-201 : FGS 370-17, 400-12, 500-7, 600-3, 700-2. NF A 32-702 : MN 350-10, 380-18, 450-6, 350-4, 650-3. DIN 1691 : CG-14, 18, 25, 30. DIN 1693 : GGG-40, 50, 60, 70. DIN 1692 : GTS-35, 45, 55, 65, 70, X120Mn12, 1.3401",,,,,,http://www.ceweld.nl/en/product/aa-feni
161,,,,,"Build-up of cast iron and alloyed grey-cast iron Well suited for warm and in special applications for cold welding. Used to fill-in voids and pores, build-up of worn-down parts.",,,0.06,FCAW Flux-Cored,,0.6,,8555: MSG Fe-2,,92.24,0.0,,175.0,2,AW,,,,1071:,,0.6,0.1,,AA GGG,,,,,,,,Very good welding and wetting characteristics and high resistance to cracks and fissures. Extreme good deposition rate compare to MMA.High strength and good bonding weld metal.. ,0,,,,,0.4,,"Build-up of cast iron and alloyed grey-cast iron Well suited for warm and in special applications for cold welding. Used to fill-in voids and pores, build-up of worn-down parts",,6.0,,,,http://www.ceweld.nl/en/product/aa-ggg
162,,A 5.21:,,,"375-450 HB, hardfacing and rebuilding alloy for wornout wheels, rails, tires, conveyors, crossings, shafts, bufferlayers prior to hardfacing. excelent wear and abrasion resistance against heavy impact and shock, machinable with carbide tools.
",,,0.12,FCAW Flux-Cored,,5.5,,8555: MSG 5 - GF - 40 P,,,0.0,,39.5,1,AW,,,,14700: T Fe2,,1.5,0.5,,AA M37-42,,,,,,,,"Due to the high resistance to cracking and excelent toughness, all weld metal requires no buffer layer except on materials considered critical. Suited for wear parts subject to heavy impact and shock. The interpass temperature should be maximum 250ºC. The weld metal is machinable with carbide tip tools, hardening is possible. The maximum hardness is dependent on the base metal and is achieved already in the first layer. ",0,,,,,0.6,,"Conveyors and transport surfaces, tires, bucket and loader teeth, cruscher jaws, Bufferlayers, crane wheels, axis, gear parts, winches etc.",,,,,,http://www.ceweld.nl/en/product/aa-m37-42
163,22.0,A 5.18: E 70C-6M,,,"Steel construction, shipbuilding, pressure vessels, mechanical engineering, pipe work etc.",,,0.05,FCAW Flux-Cored,,,,,,,0.0,,,0,AW,,27.0,,17632-A: T 42 2 MM 3 H5,,1.45,,,AA M3Y,,,,,,,0.011,"AA M3Y is a metalcored wire which combines high deposition rate typical for FCW with the high efficiencies of solid wire, provides exceptionally smooth and stable arc, low spatter and minimal slag coverage. Extreme low silicate residues on the weld seam.
 ",1,,490.0,400.0,0.01,0.55,,"

Steel type:Unalloyed steels:Boiler plates:Pipe steels:-Shipbilding plates:Steel castings:Thin sheets:

DIN:St 33 to St 52.3HI, HII, 17 Mn4St 35 to St 52.4StE 210.7 to StE 360.7A, B, DGS-38 to GS-521623/1


W.Nr.:1.0035 to 1.05701.0345, 1.0425, 1.04811.0308 to 1.05811.0307 to 1.05821.0440, 1.0472, 1.04751.0416 to 1.0551-



 ",,,,,,http://www.ceweld.nl/en/product/aa-m3y
164,25.0,5.18: E 70C-6M H4,,,"Steel construction, shipbuilding, pressure vessels, mechanical engineering, pipe work, offshore, bridge building, heavy transport etc.",,,0.1,FCAW Flux-Cored,,,,,,,0.0,,,0,AW,170.0,150.0,,17632-A: T 46 4 M M1H5,,1.4,,,AA M400,,,,,,,0.015,Seamless metal cored wire with remarkable stable arc and no spatters. Excellent for use in automated welding applications such as orbital MAG or robotic welding. AA M400 is rolled instead off drawn that results in a more dense and higher filling grade to obtain better performance and productivity. AA M400 can be used in a wide range of parameters starting from short arc at 14 volts for root weld or thin plate welding up to 32 Volts for extreme deposition rates. Due to the seamless production process the hydrogen content is below 3ml/100gr weld metal even after long unconditioned storage.,0,,605.0,460.0,0.015,0.575,,"

MaterialsshipbuildingUnalloyed steelsboiler steelspipe steels-Fine grain steelsAPI-standard
DINA, B, D, AH 32 - EH 36S185 - S355P235GH, P355GHP235T1/T2, P460NL2L210 - L445MBS385-S420-S460QL1X 42, X60

ENA, B, D, AH 32 - EH 36S185 - S355P235GH, P355GHP235T1/T2, P460NL2L210 - L445MBS385-S420-S460QL1X 42, X60


ASTMTypicalA 106 / A 333A 662 / A 387A 738 / A 612A 299--



 ",,,,,,http://www.ceweld.nl/en/product/aa-m400
165,19.0,A 5.22: EC 410NiMo ,,,"Continuous casting rolls, centrifuges, valves, Pelton- and Francis- turbines",,,0.02,FCAW Flux-Cored,,11.9,,,1.4313,82.42,0.0,,40.0,1,AW,67.0,,,17633-A: T13 4 MM3,,0.46,0.6,,AA M410 NiMo,,,4.3,,,,,Good corrosion and abrasion resistance as required by water turbines in hydropower plants.,24,150.0,890.0,805.0,,0.3,,"Water and steam turbine parts of the same kind, thermoshock and high heat resistant. 1.4313, 1.4002, (G)X5CrNi(Mo) 13 4, X6CrAl 13, Grade CA 6 NM.",,,,,,http://www.ceweld.nl/en/product/aa-m410-nimo
166,24.0,5.18: E 70C-6M H4,,,"Steel construction, shipbuilding, pressure vessels, mechanical engineering, pipe work, offshore, crane building, heavy transport, lifting equipment etc.",,,0.05,FCAW Flux-Cored,,,,,,,580.0,2.0,,0,AW/SR/AN,100.0,60.0,47.0,17632-A: T 46 6 MM1H5,,1.5,,,AA M460,,,,,,,0.015,Seamless metal cored wire with remarkable stable arc and no spatters. Excelent for use in automated welding applications such as orbital Mag or robotic welding.This wire offers a unique approval class at most third parties that anables you to use only one wire to cover more procedures upto 460N/mm2 yield strenght steels. AA M460 can also be used for constructions that needs post weld heat treatment after welding and still offers mechanical properties confirming 5Y46 class. Due to the seamless production process the hydrogen content is below 3ml/100gr weld metal even after long storage.,0,,600.0,460.0,0.015,0.7,,"

MaterialsshipbuildingUnalloyed steelsboiler steelspipe steels-Fine grain steelsAPI-standard
DINA, B, D, E, AH 32 - EH 36St 33, St 37-2 - St 52-3H I, H III, 17Mn4, 19Mn5St 35.8, St 45.8StE 210.7 TM, StE 445.7 TMStE 255 to StE 460X 42, X65, X 70

ENsameS185 - S355P235GH, P355GHP235T1/T2, P460NL2L210 - L445MBS235-S420-S460QL1X 42, X65, X 70


ASTMTypicalA 258 / A 516A 662 / A 387A 738 / A 612A 299--



 ",,,,,,http://www.ceweld.nl/en/product/aa-m460
167,20.0,A 5.18: E 70C-6M,,,"Steel construction, shipbuilding, pressure vessels, mechanical engineering, pipe work etc.",,,0.05,FCAW Flux-Cored,,,,,,,0.0,,,0,AW,,47.0,,17632-A: T 42 4 MM 3 H5,,1.45,,,AA M4Y,,,,,,,0.011,"AA M4Y is a metalcored wire which combines high deposition rate typical for FCW with the high efficiencies of solid wire, provides exceptionally smooth and stable arc, low spatter and minimal slag coverage.
 ",1,,500.0,420.0,0.01,0.63,,"

Steel type:Unalloyed steels:Boiler plates:Pipe steels:-Shipbilding plates:Steel castings:Thin sheets:

DIN:St 33 to St 52.3HI, HII, 17 Mn4St 35 to St 52.4StE 210.7 to StE 360.7A, B, DGS-38 to GS-521623/1


W.Nr.:1.0035 to 1.05701.0345, 1.0425, 1.04811.0308 to 1.05811.0307 to 1.05821.0440, 1.0472, 1.04751.0416 to 1.0551-



 ",,,,,,http://www.ceweld.nl/en/product/aa-m4y
168,26.0,5.28: E 80C-Ni1H4,,,"Crane, steel, vessel and apparatus construction, offshore, lifting, drilling platforms etc.",,,0.05,FCAW Flux-Cored,,,,,,,0.0,,,0,AW,,80.0,60.0,17632-A: T 50 6 1Ni M M 1 H5,,1.3,,,AA M500,,,0.9,,,,0.015,Seamless metal cored wire with remarkable stable arc and no spatters. Excellent for use in automated welding applications such as orbital Mag or robotic welding.This wire offers a unique welding deposit with less than 1% nickel to full fill NACE requirements and cover more procedures upto 500N/mm2 yield strength steels. AA M500 can also be used for constructions that needs post weld heat treatment after welding and still offers mechanical properties confirming 5Y46 class. Due to the seamless production process the hydrogen content is below 3ml/100gr weld metal even after long storage in unconditioned condition.,0,,640.0,500.0,0.015,0.7,,"

MaterialsshipbuildingUnalloyed steelsboiler steelspipe steels-Fine grain steelsAPI-standard
DINA, B, D, E, AH 32 - EH 36St 33, St 37-2 - St 52-3H I, H III, 17Mn4, 19Mn5St 35.8, St 45.8StE 210.7 TM, StE 480.7 TMStE 255 to StE 500X 42, X65, X 70

ENsameS185 - S355-S460-S485P235GH, P355GHP235T1/T2, P460NL2L210 - L480MBS255 - S500 (NL1,2)X 42, X65, X 70


ASTMTypicalA 258 / A 516A 662 / A 387A 738 / A 612A 299--


",,,,,,http://www.ceweld.nl/en/product/aa-m500
169,18.0,A5.36: E91T15-M21A8-K7-H4,,,"Crane, steel, vessel and apparatus construction, offshore, lifting, drilling platforms etc.",,,0.05,FCAW Flux-Cored,,,,,,,0.0,,,0,AW,,47.0,47.0,"18276-A:  T55 6 Mn2,5Ni M M21 1 H5",,1.4,,,AA M550,,,2.2,,,,0.01,"Seamless metal cored wire with remarkable stable arc and no spatters. Excellent for use in automated welding applications such as orbital Mag or robotic welding.This wire offers a unique welding deposit with more than 2% nickel to offer reliable impact properties down t60°C. Ceweld AA M550 is used for welding 550N/mm2 yield strength steels, due to the seamless production process the hydrogen content is below 3ml/100gr weld metal even after long storage in unconditioned condition.",0,,710.0,550.0,0.01,0.6,,"X42, X65, X70, X80, EStE 550, HY 80",,,,,,http://www.ceweld.nl/en/product/aa-m550
170,,A 5.21:,,, Rebuilding and cladding parts against strong abrasion and heavy impact. ,,,0.5,FCAW Flux-Cored,,6.0,,8555: MSG 6 - GF - 60 P,,,0.0,,59.5,4,AW,,,,14700: T Fe4,,1.5,0.9,,AA M57-62,,,,,,,,"Due to the high resistance to cracking and toughness, all weld metal requires no buffer layer except on materials considered critical. In this situation Ceweld ER 100 G is recommended. Suited for wear parts subject to heavy impact and shock. The interpass temperature should be maximum 250ºC. The weld metal is machinable by special carbide tools, hardening is possible. The maximum hardness is dependent on the base metal and is achieved in the first layer.",0,,,,,0.6,,"55-62 HRc hardfacing alloy against heavy impact and shock, bucket, loaders, crusher jaws, crusher cones, pumps, sand, snow scratchers, stone cutting tools etc.",,,,,,http://www.ceweld.nl/en/product/aa-m57-62
171,25.0,5.28: E80C-Ni1 H4,,,"Steel construction, shipbuilding, pressure vessels, mechanical engineering, pipe work, offshore, crane building, heavy transport, lifting equipment respecting the NACE requirements.",,,0.06,FCAW Flux-Cored,,,,,,,0.0,,,0,AW/SR/PWHT,,70.0,47.0,18276-A T 62 6 Mn1Ni M M 1 H5,,1.7,0.4,,AA M610,,,0.95,,,,0.015,Seamless metal cored wire with remarkable stable arc and no spatters. Excelent for use in automated welding applications such as orbital Mag or robotic welding.This wire offers a unique covering range that anables you to use only one wire to cover more procedures upto 620N/mm2 yield strenght steels. AA M610 can also be used for constructions that needs post weld heat treatment after welding and still offers excellent impact properties. Due to the seamless production process the hydrogen content is below 3ml/100gr weld metal even after long storage.,0,,780.0,620.0,0.015,0.6,,"


Materials

EN
ASTM



TM pipe steelsHigh strength fine grain steels (tempered)High strength fine grain steels (low temp)Steels to API standardAISI 4130 - 4140 - 863025CrMo4, 42CrMo41.7218, 1.7228


up to L555MBup to S620QLup to S620G1QL1X70-X80-X90 

TypicalA517A537


The ASME classification is carried out based on a weld metal according to ISO standards.",,,,,,http://www.ceweld.nl/en/product/aa-m610
172,17.0,5.28: E 110 C-K4 H4,,,"Crane-, plant-, craft-, lifting and steel construction, pipe work, foundries.",,,0.05,FCAW Flux-Cored,,0.5,,,,,580.0,2.0,,0,AW/SR,,69.0,69.0,18276-A: T 69 6 Mn2NiCrMo M M 1 H5,,1.6,0.5,,AA M690,,,2.2,,,,0.015,"Remarkable crack resistant weld metal in combination with very low (<3ml/100gr) hydrogen content. Therefore, suitable for the economic processing of higstrength and low temperature fine grained structural steels. Excellent welding properties in short and spray arc. High deposition rate and no intermediate cleaning required with very low spatter loss. Excellent wetting properties compare to solid wires that results in a bigger parameter range and improved duty cycle for the welder.",0,,870.0,6.0,0.015,0.4,,"Naxtra 70, Weldox 700, S690, S620, EStE 690, 690V, XABO 620, X80, S620Ql1, S690QL1, S600MC, S700MC, Naxtra 63, Naxtra 70, Optim 700 mc plus, TStE620, TStE690, Weldox 500, Hardox, L480 - L550, X65, X80, X90, X100, Hardox 400, XAR 400, Dilidur 400, Domex, 20MnCr65, 28CrMn43, ASTM: A 517, A 537, A 625, HY100, 16NiCrMo12-6, Oceanfit 100, Oceanfit 690",,,,,,http://www.ceweld.nl/en/product/aa-m690
173,14.0,"5.28: ~E 120 C-K4 H4, ",,,"Crane, steel, lifting, vessel and apparatus construction.",,,0.07,FCAW Flux-Cored,,0.55,,,,,0.0,,,0,AW,55.0,47.0,,18276-A: T 89 4 Mn2NiCrMo M M 1 H5,,1.5,0.6,,AA M960,,,2.7,,,,0.015,"Good arc restriking, suitable for robot applications. Usable in the field short arc and spray arc. Excellent gap bridging for root welding. Higefficiency type for economic production of higstrength fingrain structural steels. Stable mechanical property values up to heat input of 10 kJ/cm. Due to the seamless production process the hydrogen content is below 3ml/100gr weld metal even after long storage in unconditioned condition.",0,,1080.0,960.0,0.015,0.5,,"XABO 90, StE890V, StE960TM, Weldox 700, weldox 900, StE 890, S890QL1, StE 960, S960QL1, S1100 (till 12 mm)ASTM: A 517, X120",,,,,,http://www.ceweld.nl/en/product/aa-m960
174,20.0,5.28: E80C-B2 H4,,,"Construction of containers, boilers, machines and pipe work. Construction of steam boilers and steam turbines.",,,0.05,FCAW Flux-Cored,,1.1,,,,,675.0,1.0,,0,SR/AN,80.0,47.0,27.0,17634-A: T CrMo1 M M 1 H5,,1.4,0.5,,AA MCrMo1,,,,,,,0.015,"Good arc restriking even with cold wire tip, suitable for robot applications. Ideal for use in the field short arc and spray arc. Excellent gap bridging for root welding. Higefficiency type for economic production enviroments and CrMsteels up to 550 °C (1022°F) . Due to the seamless production process the hydrogen content is below 3ml/100gr weld metal even after long storage in unconditioned condition.",0,,645.0,460.0,0.015,0.3,,"

MaterialsBoiler steelsCast steels-
DIN13CrMo44, 24CrMo5GS 17CrMo55,GS 22CrMo54
EN13CrMo4-5G17CrMo5-5G22CrMo5-4
ASTMTypicalA 387 Gr. 11-12 


similarly alloyed heat treatable steels.similarly alloyed cementation and nitrided steels.",,,,,,http://www.ceweld.nl/en/product/aa-mcrmo1
175,18.0,5.28: E90C-B3 H4,,,"Construction of containers, boilers, machines and pipe work. Steam boilers and turbines construction.",,,0.07,FCAW Flux-Cored,,2.3,,,,,675.0,1.0,,0,SR/AN,80.0,47.0,,17634-A: T CrMo2 MM1H5,,1.0,1.1,,AA MCrMo2,,,,,,,0.015,"Good arc restriking even with cold wire tip, suitable for robot applications. Ideal for use of short arc and spray arc. Excellent gap bridging for root welding. Higefficiency type for economic production of creep resistant steels and pressurhydrogeresistant 2¼Cr1Msteels. Due to the seamless production process the hydrogen content is below 3ml/100gr weld metal even after long storage in unconditioned condition.",0,,720.0,540.0,0.015,0.3,,"

MaterialsBoiler steels--
DIN10CrMo9-1010CrSiMoV712CrMo9-10
EN10CrMo9-1012CrMo9-10-
ASTMtypicalA 387 Gr. 22-

",,,,,,http://www.ceweld.nl/en/product/aa-mcrmo2
176,22.0,5.28: E80 C-D2-H4,,,"Vessel and steel construction, mechanical engineering boiler and pipe work.",,,0.05,FCAW Flux-Cored,,,,,,,605.0,1.0,,0,SR/AN,47.0,47.0,,17634-A: T Mo M M 1 H5,,1.3,0.5,,AA MMo,,,,,,,0.015,"Good arc restriking even with cold wire tip, suitable for robot applications. Ideal for use of short arc and spray arc. Excellent gap bridging for root welding. Higefficiency type for economic production enviroments and Msteels up to 500 °C (932 °F) . Due to the seamless production process the hydrogen content is below 3ml/100gr weld metal even after long storage in unconditioned condition.",0,,645.0,460.0,0.015,0.7,,"(Boiler steels) DIN: HI, HII, 17Mn4, 19Mn5, 15Mo3, 16Mo3 EN: P235GH, P265GH, P295GH, 16Mo3
(Pipe steel) DIN: St35.8, St45.8, StE 210.7 TM - StE 480.7 TM EN: P235T1/T2 - P355N, L210 - L485
(Fine grain structual steel) DIN: StE 255 tot StE 460 EN: S255 - S460
ASTM: A 204 Gr. A - C, A 106 Gr. A - C
1.5415, 1.0481, 1.0482, 1.0425, 1.0354",,,,,,http://www.ceweld.nl/en/product/aa-mmo
177,,A 5.21:,,,"Rebuilding heavy steel parts, buffer layers, winches, rails, rails crossings, dredger teeth, blast furnace mantles etc..",,,0.4,FCAW Flux-Cored,,14.0,,8555: MF 7-250-KNP,,67.2,0.0,,235.0,1,AW/SH,,,,14700: T Fe9-250-KNP,,16.0,0.6,,AA MnCr,,,1.2,,,,,Austenitic deposit with strain hardening properties and no limmits in the number of layers. The deposit is non magnetic and can not be flame cut and is extreme resistant to heavy impact loads.. ,24,150.0,,,,0.4,,"Rebuilding wornout parts, buffer layers, rebuilding rails and or crossings, dredger teeth, blast furnace mantles, winches.",,0.2,,,,http://www.ceweld.nl/en/product/aa-mncr
178,46.0,A 5.34: E NiCr3 T 0-4,,," AA NICRO 600 is developed for welding and cladding nickel-based alloys such as alloy 600 or similar materials. This alloy can also be used for welding dissimilar nickel-based alloys to each other, to alloyed steels or to stainless steels. AA NICRO 600 can also be used on difficult to weld steels ! 
",,,0.045,FCAW Flux-Cored,,21.0,,,2.4806,2.1,0.0,,,0,AW,128.0,,,12153: T Ni 6082 R M 3,,3.2,,,AA NiCro 600,,2.7,70.0,,,,,,24,150.0,650.0,3.0,,0.3,,"Alloy type : Incoloy 800, DS - Inconel 600, 601, UNS Nr (unified numbering system) : K 81340, N06600, N 06601, N 08800, N 08810. DIN design : X8Ni9 - 12Ni19 - 10Ni 14 - NiCr15Fe - NiCr23Fe - X10NiCrAITi3220 - X10CrNiMoNb18.12 - NiCr20Ti. Mat n° : 1.5662 - 1.5680 - 1.5637 - 1.4876 - 1.4583 - 2.4816 - 2.4851 - 2.4951, 2.4806, Alloy 82, 1.4816, 600L, 800H, difficult to Weld steel, chain, cock wheels, kiln tyre",0.3,,,,,http://www.ceweld.nl/en/product/aa-nicro-600
