,A5,AWS,Applications,Category,DIN,DIN_W,Hardness,Heat_Treated,IE-20,IE-40,IE-60,ISO,Name,Others,Properties,Redrying_Temp,Rm,Rp0,Suitable_For,Cu,Mn,Other,Si,C,Cr,Mo,Ni,P,S,V,N,Fe,Nb,Ti,W,Nb+Ta,B,Al,Co,Zn,Zr,Mg,Be,Ag,Sn,Ni+Co
104,22.0,A 5.1:E 7027,"Wagon building, shipbuilding, general construction, heavy machinery, vessel, containers",3.0,1913: E 51 53 AR 11 160,,,AW:,75.0,47.0,,2560-A: E 42 4 RA 53,7027,,"The 7027 is a high performance electrode with a thick coating and a recovery of 150%. For welding heavy machinery, body and wagon building as well as in the fabrication of vessels and containers and in shipbuilding. Moreover this electrode is ideally suited for primer treated or rusty materials and offers excellent impact properties down to -40°C. The 7027 has a high current carrying capacity and self detaching porous slag (excellent for narrow gabs where the slag is often hard to remove).",100-110?1hr,570.0,420.0,"

Steel types:Unalloyed steelsBoiler steelsFinegrained steelsShipbuilding plates-Steel castings
DIN:St 33 to St 52.3 HI, HII,17Mn4StE 255 to StE 355A, B, D-GS-38 to GS-52
W.Nr:1.0035, to 1.05611.0345, 1.0425-1.0440, 1.04721.04751.0416 


 ",,1.0,,0.3,0.07,,,,0.025,0.025,,,,,,,,,,,,,,,,,
105,20.0,A 5.5: E 8018-B2,"Steam plants, vessel, waste plants, cementation steels, boiler works, tubes, heat exchangers",3.0,8575: E CrMo1 B 20+,,,AW,95.0,,,3580-A: E CrMo1 B 42 H5,8018-B2,,"Basic electrode for welding of steam production plants, steam pipes and similar joints made of Cr-Mo alloyed steel. The weld metal is resistant to working temperatures up to 550°C. as for similarly alloyed steels, quenched and tempered for cementation and nitrating. Hydrogen content: < 5 ml / 100 g weld metal ",400?1hr,620.0,470.0,"13CrMo44, 15CrMo3, 13CrMoV42, 15Cr3, 16MnCr5, 20MnCr5, 15CrMo5, 25CrMo4, GS-22CrMo5, GS-22CrMo54, 1.7335, 1.7015, 1.7131, 1.7147, 1.7262, 1.7218,. 1.7354",,0.95,,0.6,0.06,1.1,0.5,,,,,,,,,,,,,,,,,,,,
106,22.0,A 5.5: E 8018-C1 H4R,"Low temperature applications, Refrigerated ammonia tanks, Liquefied gas storage, piping and transportation, Weathering steels
",3.0,8529: EY 50 76 2 Ni B,,,AW,,,55.0,2560-A: E 50 8 2 Ni B 42 H5,8018-C1,,Excelent arc stabillity and easy slag removal with low spatter losses. Developped for high impact strenght properties at extreme sub zero temperatures. Hydrogen content is less than 4ml/100gr weldmetal.,400?1hr,630.0,510.0,"

Material:Finegrained steelsFine Micro alloyed steelsQuenched and temperedLow temperature steels-
DIN:EStE 380 to EStE 500-Naxtra 56TTSt35N to TTSt45V14Ni6 to 16Ni14
W.Nr:1.8911 to 1.8919-1.7279-1.5622 to 1.5639


 ",,1.0,,0.5,0.05,,,2.3,,,,,,,,,,,,,,,,,,,
107,19.0,A 5.5: E 8018-C2 H4,Recommended for fine-grained steels used at low temperature (-60 to -80ºC ).Cryogenic and petrochemical industries. Stocking and distribution of liquid gas or products volatile.,3.0,8529: EY 4687 3Ni BH5 20,,,AW,,75.0,30.0,2560-A:E 46 6 3Ni B 3 2 H5,8018-C2,,"Basic, Nickel alloyed (above 3%) electrode with excellent welding characteristics and easy slag removal. Extreme tough welding deposit with guaranteed excelent mechanical properties at low temperatures.
HD < 5 ml/100",350?2hr,550.0,460.0,"Plates and tubes made out of fine grain steels, cold tough: 
NFA 35-207: A510PP1 – A550PP2 
NFA 36208: 3.5 Ni 285 ct 355 (12N14) 
DIN : 10Ni14 – 14Ni6 – 16Ni14 
ASTM : A203G D&E – A352GrLC3 – A334Gr3 – A350Gr LF3 ",,0.9,,0.3,0.1,,,3.5,0.025,0.025,,,,,,,,,,,,,,,,,
108,22.0,A 5.5: E 8018-G-H4R ,"Crane, heavy transport, platforms, vessel and lifting equipment in offshore, pipeline and applications that require NACE requirements (less than 1% Nickel). ",3.0,8529: EY 46 87Mn1NiBH5,,,AW,,120.0,90.0,2560-A: E 50 6 1Ni B 42 H5,8018-C3,,"The basic offshore electrode according to the latest offshore requirements for sub zero temperatures down to -60°C. CTOD tested and suitable upto steel types with 460N/mm2 yield strength (such as S460), approved according to grade 5Y46 at Lloyds and DNV. Excellent welding properties and extreme low hydrogen content below 3 ml/100gr weld metal. Ceweld 8018-C3 is packed in the best in class multi layer vacuum pack to avoid costly and time consuming redrying of the electrodes.",400?1hr,640.0,500.0,"S355, S420, S460, St52, St70.2, , StE380 to StE460, 13Mn4Ni63, 15MnNi63, , 17Mn4, 19Mn5, Corten, Patinax, GS-52 to GS-60, 1.0580 to 1.0070, 1.8900 to 1.8905, 1.8930 to 1.8935, 1.8910 to 1.8915, 1.6217, 1.6210, 1.0481, 1.0482, 1.0551, 1.0553., Oceanfit 52, Oceanfit 60, Oceanfit 65, Oceanfit 355, Oceanfit 420, Oceanfit 460",,1.3,,0.5,0.07,,,0.9,,,,,,,,,,,,,,,,,,,
109,17.0,A 5.5: E 9015-B9,"Headers, main steam piping and turbine casings, in fossil fuelled power generating plants. Oil refineries and coal liquefaction and gasification plants. Preheat and Interpas temperature 200°C - 300°C.",3.0,,,,AW,70.0,,,3580-A: E CrMo91 B 42 H5,9015-B9,,"9015-B9 is designed to weld equivalent ‘type T91’ T92 CrMo steels modified with small additions of vanadium and tungsten to give improved long term creep properties. These consumables are specifically intended for high integrity structural service at elevated temperature so the minor alloy additions responsible for its creep strength are kept above the minimum considered necessary to ensure satisfactory performance. In this case, weldments will be weakest in the softened (intercritical) HAZ region of parent material, as indicated by so-called ‘type IV’ failure in transverse weld creep tests.",350?1hr,760.0,650.0,"X11CrMo9-1, X12CrMo9.1, X20CrMoV10-1, 1.7389, 1.7386, 1.4922, 1.4935, 1.4904 ASTM: A 199Gr.T9, A335Gr. P9, A351, A213/213M, P91, P92",,0.8,,0.35,0.1,9.0,1.0,0.7,,,0.2,0.04,,0.05,,,,,,,,,,,,,
110,17.0,A 5.5: E 9018-B9,"Headers, main steam piping and turbine casings, in fossil fuelled power generating plants. Oil refineries and coal liquefaction and gasification plants. Preheat and Interpas temperature 200°C - 300°C.",3.0,,,,AW,50.0,,,3580-A: E CrMo91 B42 H5,9016-B9,,"9016-B9 is designed to weld equivalent ‘type T91’ T92 CrMo steels modified with small additions of Tungsten and Vanadium to give improved long term creep properties. These consumables are specifically intended for high integrity structural service at elevated temperature so the minor alloy additions responsible for its creep strength are kept above the minimum considered necessary to ensure satisfactory performance. In this case, weldments will be weakest in the softened (intercritical) HAZ region of parent material, as indicated by so-called ‘type IV’ failure in transverse weld creep tests.",400C/1hr,750.0,520.0,"X11CrMo9-1, X12CrMo9.1, X20CrMoV11-1, X20CrMoV12-1, 1.7386, 1.4922, 1.4935 ASTM: A 199Gr.T9, A335Gr.P9, A351, A213/213M Gr.T/P91Gr.T/P92",,0.6,,0.35,0.06,9.0,0.9,0.9,,,0.2,,,,,0.2,,,,,,,,,,,
111,18.0,A 5.5: E 9018-B3 H4R,"Construction of containers, boilers, machines and pipe work. Steam boilers and turbine construction.",3.0,8575: E CrMo2 B 20+,,,*SR 690ºC/2hr,95.0,,,3580-A: E CrMo2 B 42 H5,9018-B3,,Excelent welding properties with low spatter formation and very stable arc. Suitable for welding in all positions except vertical down. Excellent gap bridging for root welding. 118% recovery type for economic production of creep resistant steels and pressure-hydrogen-resistant 2¼Cr1Mo-steels.,400?1hr,670.0,4.0,"10CrMo9.10, 12CrMo9-10, 10CrSiMoV7, 12CrSiMo8, 30CrMoV9, GS-18CrMo9.10W.Nrs: 1.7380, 1.8075, 1.7707, 1.7379,ASTM: A 387 Gr. 22, A217 Grade WC9",,0.9,,0.6,0.06,2.4,1.0,,,,,,,,,,,,,,,,,,,,
112,17.0,A 5.5: E 9018-B9,"Headers, main steam piping and turbine casings, in fossil fuelled power generating plants. Oil refineries and coal liquefaction and gasification plants. Preheat and Interpas temperature 200°C - 300°C.",3.0,,,,AW,50.0,,,3580-A: E CrMo91 B42 H5,9018-B9,,"9018-B9 is designed to weld equivalent ‘type T91’ T92 CrMo steels modified with small additions of niobium and Vanadium to give improved long term creep properties. These consumables are specifically intended for high integrity structural service at elevated temperature so the minor alloy additions responsible for its creep strength are kept above the minimum considered necessary to ensure satisfactory performance. In this case, weldments will be weakest in the softened (intercritical) HAZ region of parent material, as indicated by so-called ‘type IV’ failure in transverse weld creep tests.",400C/1hr,735.0,520.0,"X11CrMo9-1, X12CrMo9.1, X20CrMoV11-1, X20CrMoV12-1, 1.7386, 1.4922, 1.4935 ASTM: A 199Gr.T9, A335Gr.P9, A351, A213/213M Gr.T/P91Gr.T/P92",,0.9,,0.3,0.09,9.0,0.9,0.4,,,0.2,,,0.06,,,,,,,,,,,,,
113,17.0,A 5.5: E 9018-B9,"Headers, main steam piping and turbine casings, in fossil fuelled power generating plants. Oil refineries and coal liquefaction and gasification plants. Preheat and Interpas temperature 200°C - 300°C.",3.0,,,,PWHT 760°C/2hr,50.0,,,3580-A: E ZCrMoWVNb 911B42 H5,9018-B9 (P92),,"9018-B9 (P92) is designed to weld equivalent ‘type T/P92 CrMo steels modified with 1,6% Tungsten to match the basemetal creep properties. These consumables are specifically intended for high integrity structural service at elevated temperature so the minor alloy additions responsible for its creep strength are kept above the minimum considered necessary to ensure satisfactory performance. In this case, weldments will be weakest in the softened (intercritical) HAZ region of parent material, as indicated by so-called ‘type IV’ failure in transverse weld creep tests.",400C/1hr,735.0,520.0,"For matching T/P92, 9%Cr1.7%W0.5%Mo, creep resisting martensitic steels. X10CrWMoVNb 9 2, ASTM: A182 grade F92, A213 grade T92, A335 grade P92, A387 grade 92, 1.4901, NF 616",,0.9,,0.3,0.1,9.0,0.9,0.4,,,0.2,,,0.05,,1.0,,,,,,,,,,,
114,21.0,A 5.5: E 9018-G-H4R ,"Crane, heavy transport, platforms, vessel and lifting equipment in offshore, pipeline, riser and applications that require NACE requirements (less than 1% Nickel). ",3.0,8529: EY 55 76Mn1NiMoB H5,,,AW,150.0,,55.0,2560-A: E 55 6 Mn 1NiMoB42 H5,9018-G,,"High basic offshore electrode according the latest offshore requirements for sub zero temperatures down to -60°C.  Suitable for steel types upto 550 N/mm2 yield strength, excellent welding properties and extreme low hydrogen content below 3 ml/100gr weld metal. The weldmetal is suitable for longer post weld heat treatments as applied in Riser applications.",400?1hr,705.0,550.0,"S460, S500, S550, SSt52, St70.2, , StE500 to StE500, TStE 500, 17MnMoV64, 15CuMoNb5, 11NiMoV53, 20MnMoNi45, Oceanfit 60, Oceanfit 65, Oceanfit 420, Oceanfit 460, 4130, 4140, X80, X90",,1.6,,0.4,0.06,,0.3,1.0,0.025,0.025,,,,,,,,,,,,,,,,,
115,35.0,A 5.9: ER 385,"Tanks and process vessels, Piping systems, agitators, rotors, cast pumps and valves for use in the fertilizer, phosphoric,sulphuric and acetic acid plants
",2.0,8556: 20 25 5 L Cu,1.4539,,AW,70.0,,,14343-A: G 20 25 5 Cu L,904L,,"The Ceweld 904L is used for welding materials of similar chemical composition which are used for fabrication of equipment and vessels for handling of sulfuric acid and many chloride containing media. This filler metal may also find applications for joining Type 317L material where improved corrosion resistance in specific media is needed. In order to reduce he propensity for fissuring and hot cracking, the low melting constituents such as carbon, silicon, and phosphorus are controlled to lower levels in this alloy. ",,560.0,380.0,"W.Nrs: 1.4500, 1.4505, 1.4506, 1.4519, 1.4531, 1.4536, 1.4539, 1.4573, 1.4585, 1.4586, 4 NS N 08904 1.4539, 1.4537, 1.4519, 1.4505, UNS N08904, S31726, X1NiCrMoCu 25-20-5, X1CrNiMoCuN 25-25-5, X4NiCrMoCuNb 20-18-2, Uranus B6",1.6,2.05,,0.35,0.019,20.5,4.6,25.1,0.013999999999999999,0.015,,0.04,,,,,,,,,,,,,,,
116,35.0,A 5.9: ER 385,"Tanks and process vessels, Piping systems, agitators, rotors, cast pumps and valves for use in the fertilizer, phosphoric,sulphuric and acetic acid plants
",2.0,8556: ~20 25 5 L Cu,1.4539,,AW,120.0,,,14343-A: W 20 25 5 Cu L,904L Tig,,"The Ceweld 904L is used for welding materials of similar chemical composition which are used for fabrication of equipment and vessels for handling of sulfuric acid and many chloride containing media. This filler metal may also find applications for joining Type 317L material where improved corrosion resistance in specific media is needed. In order to reduce the propensity for fissuring and hot cracking, the low melting constituents such as carbon, silicon, and phosphorus are controlled to lower levels in this alloy. ",,600.0,410.0,"W.Nrs: 1.4500, 1.4505, 1.4506, 1.4519, 1.4531, 1.4536, 1.4539, 1.4573, 1.4585, 1.4586, 4 NS N 08904 1.4539, 1.4537, 1.4519, 1.4505, UNS N08904, S31726, X1NiCrMoCu 25-20-5, X1CrNiMoCuN 25-25-5, X4NiCrMoCuNb 20-18-2, Uranus B6",1.6,2.05,,0.35,0.019,20.5,4.6,25.1,0.013999999999999999,0.015,,0.04,,,,,,,,,,,,,,,
117,29.0,A 5.22: E2307 T1-1/4,"Very well suited for the chemical industries (e.g. bio fuel), the pulp and paper industry and also the food industry. 

",4.0,8556:~ 23 7 N L,1.4162,,AW,45.0,,,17633-A: T 23 7 N L P C1/M21 2,AA 2101 Lean Duplex,,"AA 2101 has excelent welding properties and was developed especially for the steel grade 1.4162/UNS S 32101. Due to the higher Mn and N – content of the Lean duplex base material, the slag viscosity and therefore the flow behaviour is changing and the welding bead is liquid for a longer time. The result is a very smooth seam.",150℃/24hr,750.0,571.0,Lean duplex stainless steel EN 1.4162 / ASTM 32101 grade such as LDX2101® (Avesta),,1.26,,0.45,0.03,24.6,,7.9,0.02,0.003,,0.13,,,,,,,,,,,,,,,
118,28.0,A 5.22: E 2209 T0-1/-4,"Duplex stainless steels in chemical industry such as offshore, tubing, vessel, boilers etc.",4.0,8556: 22 9 3 L,1.4462,,AW,,,35.0,17633-A: T 22 9 3 N L R M 3,AA 2209,,"Smooth drop transfer and stable arc with no spatter losses. High productivity and weldabillity, better wetting properties compared to solid wires. Ductile weld metal quality and X-ray soundness with easy slag removal and ferrite level between 30 and 50 (FN). Excellent for use in position and down hand welding. Excellent against pitting and stress corrosion.PREN above 35 weldmetal offers outstanding resistance against pitting.",150?24hr,780.0,630.0,"Welding wrought, forged or cast duplex stainless steels in the as welded condition. Also suitable for dissimilar welding of low alloyed steels and common stainless steels, UNS S31803, S32205, UR 45N & UR 45N+, 2101, 2205, SAF 2205 Fafer 4462, NKCr22, SM22Cr, Falc 223 UNS S32304 : UR 35 N SAF 2304.W.Nr:  1.4162, 1.4462, X2CrNiMoN 22 5 3, 1.4362, X2CrNiN 23 4,  1.4463, 1.4460, 1.4583",,1.4,,0.8,0.03,23.0,3.3,9.5,0.02,0.008,,0.14,,,,,,,,,,,,,,,
119,25.0,A 5.9: EC 2209,"Duplex stainless steels in chemical industry such as offshore, tubing, vessel, boilers etc..",4.0,8556: 22 9 3 L,1.4462,,AW,,,32.0,17633-A: T 22 9 3 N L M M 1,AA 2209 M,,"Smooth drop transfer and more stable arc compare to solid wires. High productivity and weldabillity, better wetting properties compared to solid wires. Ductile weld metal quality and X-ray soundness and ferrite level between 30 and 50 (FN). Excellent for use in down hand welding. Excellent against pitting and stress corrosion. The PREN above 35 weldmetal offers outstanding resistance against pitting.",150?24hr,745.0,243.0,"Welding wrought, forged or cast duplex stainless steels in the as welded condition. Also suitable for dissimilar welding of low alloyed steels and common stainless steels, UNS S31803, S32205, UR 45N & UR 45N+, 2205, SAF 2205 Fafer 4462, NKCr22, SM22Cr, Falc 223 UNS S32304 : UR 35 N SAF 2304W.Nr: 1.4462, X2CrNiMoN 22 5 3, 1.4362, X2CrNiN 23 4,  1.4463, 1.4460, 1.4583",,1.4,,0.6,0.03,23.0,3.2,9.8,0.02,0.008,,0.15,,,,,,,,,,,,,,,
120,28.0,A 5.22: E 2209 T1-4,"Duplex stainless steels in chemical industry such as offshore, tubing, vessel, boilers etc..",4.0,8556: 22 9 3 L,1.4462,,AW,,,35.0,17633-A: T 22 9 3 N L P M 1,AA 2209-P,,"Smooth drop transfer and stable arc with no spatter losses. High productivity and weldabillity, better wetting properties compared to solid wires. Ductile weld metal quality and X-ray soundness with easy slag removal and ferrite level between 30 and 50 (FN). Excellent for use in position and down hand welding. Excellent against pitting and stress corrosion. The PREN above 35 weldmetal offers outstanding resistance against pitting.",150?24hr,780.0,630.0,"Welding wrought, forged or cast duplex stainless steels in the as welded condition. Also suitable for dissimilar welding of low alloyed steels and common stainless steels, UNS S31803, S32205, UR 45N & UR 45N+, 2205, SAF 2205 Fafer 4462, NKCr22, SM22Cr, Falc 223 UNS S32304 : UR 35 N SAF 2304W.Nr: 1.4462, X2CrNiMoN 22 5 3, 1.4362, X2CrNiN 23 4,  1.4463, 1.4460, 1.4583",,1.4,,0.8,0.03,23.0,3.3,9.5,0.02,0.008,,0.14,,,,,,,,,,,,,,,
121,29.0,A 5.22: E 2209 T1-1/4,"Duplex stainless steels in chemical industry such as offshore, tubing, vessel, boilers etc",4.0,8556: 22 9 3 L,1.4462,,AW,78.0,,62.0,17633-A: T 22 9 3 N L P C /M1,AA 2209-Pi,,"Smooth drop transfer and stable arc with no spatter losses. High productivity and weldabillity, better wetting properties compared to solid wires. Ductile weld metal quality and X-ray soundness with easy slag removal and ferrite level between 30 and 50 (FN). Excellent for use in position and down hand welding. Excellent against pitting and stress corrosion. The PRE typical value of 36.1 stimulates outstanding impact properties at sub zero temperatures.",150?24hr,815.0,612.0,"Welding wrought, forged or cast duplex stainless steels in the as welded condition. Also suitable for dissimilar welding of low alloyed steels and common stainless steels, UNS S31803, S32205, UR 45N & UR 45N+, 2205, SAF 2205 Fafer 4462, NKCr22, SM22Cr, Falc 223 UNS S32304 : UR 35 N SAF 2304W.Nr: 1.4462, X2CrNiMoN 22 5 3, 1.4362, X2CrNiN 23 4,  1.4463, 1.4460, 1.4583",,0.82,,0.54,0.03,22.49,3.43,9.35,0.015,0.003,,0.15,,,,,,,,,,,,,,,
122,27.0,"A5.22:E 2594T1-4, E2594T1-1",,4.0,8556:~25 9 4,1.4501,,AW,48.0,39.0,23.0,17633-A: T 25 9 4 N L P C/M 1,AA 2594,,"AA-2594 is a flux cored wire designed for welding 25Cr type duplex stainless steels especially for Super Duplex grade, PRE (Pitting Resistance Equivalent) is over 40. Ar-CO2 mixed gas or 100%CO2 is recommended as shielding gas for excellent weldability. ",,900.0,700.0,"Welding wrought, forged or cast super duplex stainless steels for service in the as-welded Condition. Heterogeneous welding between super duplex stainless steels and dissimilar welds between other stainless and mild or low alloyed steels. UNS S32550 :UR 52 N, Ferralium 255, UNS S32520 :UR 52 N+, UNS S32750 :SAF 2507, UR 47 N+, UNS S32760 :ZERON 100, UNS 32760, UR 76 N, SM22Cr, SAF 2507, ASTM S32760 (ZERON 100), S32550 and S31260., It can also be used for welding duplex type 2205, 1.4460, 1.4462,1.4463,1.4515, 1.4517, 1.4507 URANUS 52N, SAF 25.07, GX 3 CrNiMoCuN 26-6-3, (1.4515), GX 3 CrNiMoCuN 26-6-3-3, (1.4517), 25% Cr Super Duplex steels SAF 25/07, S32750 1.4410 - 25Cr-7Ni-4Mo-0.28N SAF2507, NAS74N, S32760 1.4501 - 25Cr-7Ni-3.8Mo-0.7Cu-0.7W-0.25N, S32506 - SUS329J4L 25Cr-7Ni-3Mo-0.15N-0.2W NAS64 1.4507, S31803, S32205,",0.031,1.18,,0.5,0.026000000000000002,25.7,3.79,9.6,,,,0.24,,0.016,,0.1,,,,,,,,,,,
123,35.0,A 5.22: E 307 T 0-G,"Welding stainless steel to low alloyed steels (dissimilar welds), buffer layers before hard facing,  rails crossings, armour plate, austenitic manganese steels and other difficult to weld steels.",4.0,8556: 18 8 Mn,1.4369999999999998,200 HB,AW,60.0,,32.0,17633-A: T 18 8 Mn R M 3,AA 307,,"Smooth drop transfer and stable arc with no spatter losses. Excellent productivity and weldability, better wetting properties compared to solid wires. Excellent weld metal quality and X-ray soundness. Post weld heat treatment (PWHT) can be applied without any problems.",150ºC/24hr,620.0,400.0,"Dissimilar welding between steel and stainless steel, armor plate, exhaust systems (type 409, 304), high Manganese austenitic steel, difficult to weld steels such as: 42CrMo4, C45, 42MnV7, tool steels etc.
 ",,6.7,,0.7,0.1,18.5,,8.8,,,,,,,,,,,,,,,,,,,
